2021-06-08 offset activeArea center? exposure bin   imgSize  filter stack?   firstZ    lastZ   N spacing currentZ
164756 ( 884, 989)  132x 112       0       50   1  132x 112   RCaMP      0  13.5878  13.7005  10  12.522  -4.7836 
164829 (   0,   0) 2048x2048       0       10   1 2048x2048   RCaMP      0  13.5878  13.7005  10  12.522  -4.7836 
165121 ( 890, 905)  132x 136       0       10   1  132x 136   RCaMP      0  13.5878  13.7005  10  12.522  -4.7836 
165210 ( 424,1156)   68x  84       0       10   1   68x  84   RCaMP      0  13.5878  13.7005  10  12.522  -4.7836 
165239 (1428, 935)  144x  96       0       10   1  144x  96   RCaMP      0  13.5878  13.7005  10  12.522  -4.7836 
175305 (   0,   0) 1024x1024       1     1000   1 1024x1024     GFP      0  13.5878  13.7005  10  12.522  -4.7657 
175402 (   0,   0) 1024x1024       1     1000   1 1024x1024     GFP      0  13.5878  13.7005  10  12.522  -4.7657 
175424 (   0,   0) 1024x1024       1     1000   1 1024x1024     GFP      0  13.5878  13.7005  10  12.522  -4.7657 
175817 (   0,   0)  512x 512       1      100   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7652 
175853 (1138, 919)   36x  36       0      100   1   36x  36     GFP      0  13.5878  13.7005  10  12.522  -4.7602 
180605 (1248,1003)  128x 104       0      100   1  128x 104     GFP      0  13.5878  13.7005  10  12.522  -4.7602 
181017 (   0,   0)  256x 256       1      100   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.7651 
181953 (   0,   0)  256x 256       1      100   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.7758 
182651 (1042,1038)   44x  36       0      100   1   44x  36     RFP      0  13.5878  13.7005  10  12.522  -4.7580 
182857 (   0,   0)  256x 256       1      100   1  256x 256     RFP      0  13.5878  13.7005  10  12.522  -4.7987 
183735 (   0,   0)  256x 256       1       30   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.6944 
190332 (   0,   0) 1024x1024       1     1000   1 1024x1024     GFP      0  13.5878  13.7005  10  12.522  -4.7139 
191314 (   0,   0)  512x 512       1      100   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7590 
191321 (   0,   0)  512x 512       1     1000   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7590 
191337 (   0,   0)  512x 512       1     1000   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7590 
191432 (   0,   0)  512x 512       1     1000   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7590 
191917 (   0,   0)  512x 512       1      100   1  512x 512     RFP      0  13.5878  13.7005  10  12.522  -4.7923 
192233 (   0,   0)  256x 256       1     1000   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.7645 
192743 (   0,   0)  256x 256       1     1000   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.7992 
192820 (   0,   0)  256x 256       1     1000   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.7778 
193408 (   0,   0)  256x 256       1     1000   1  256x 256     GFP      0  13.5878  13.7005  10  12.522  -4.7570 
193716 (   0,   0)  256x 256       1       30   1  256x 256     RFP      0  13.5878  13.7005  10  12.522  -4.7650 
193814 (   0,   0)  256x 256       1       30   1  256x 256     RFP      0  13.5878  13.7005  10  12.522  -4.8122 
194319 (   0,   0)  512x 512       1     1000   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7651 
194407 (   0,   0)  512x 512       1       30   1  512x 512     RFP      0  13.5878  13.7005  10  12.522  -4.7651 
194807 (   0,   0)  512x 512       1       30   1  512x 512     RFP      0  13.5878  13.7005  10  12.522  -4.7639 
195150 (   0,   0)  512x 512       1      100   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7442 
195207 (   0,   0)  512x 512       1     1000   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7442 
195233 (   0,   0)  512x 512       1      100   1  512x 512     RFP      0  13.5878  13.7005  10  12.522  -4.7442 
195355 (   0,   0)  512x 512       1     1000   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7607 
195415 (   0,   0)  512x 512       1      100   1  512x 512     GFP      0  13.5878  13.7005  10  12.522  -4.7607 
195426 (   0,   0)  512x 512       1      100   1  512x 512     RFP      0  13.5878  13.7005  10  12.522  -4.7607 
195550 (   0,   0)  512x 512       1      100   1  512x 512     RFP      0  13.5878  13.7005  10  12.522  -4.7368 
